dateRep,cases,deaths,countriesAndTerritories,popData2020
11/07/2021,149.0,2.0,Czechia,10693939
17/11/2020,1930.0,21.0,Lithuania,2794090
30/07/2020,1377.0,16.0,France,67320216
07/03/2020,19.0,,Norway,5367580
29/03/2021,679.0,1.0,Denmark,5822763
01/11/2020,323.0,0.0,Norway,5367580
04/09/2021,1713.0,13.0,Portugal,10295909
06/12/2020,6761.0,24.0,Netherlands,17407585
20/03/2020,8.0,0.0,Cyprus,888005
29/10/2021,5980.0,10.0,Austria,8901064
14/04/2021,684.0,8.0,Portugal,10295909
05/03/2021,24010.0,297.0,Italy,59641488
02/05/2021,12.0,1.0,Malta,514564
13/03/2021,2019.0,102.0,Bulgaria,6951482
15/11/2021,574.0,6.0,Sweden,10327589
20/03/2021,1.0,0.0,Liechtenstein,38747
24/06/2020,81.0,11.0,France,67320216
17/12/2020,60.0,2.0,Malta,514564
30/11/2021,613.0,3.0,Cyprus,888005
03/03/2020,13.0,0.0,Sweden,10327589
19/02/2020,0.0,0.0,Finland,5525292
12/07/2021,887.0,13.0,Italy,59641488
30/09/2021,731.0,2.0,Estonia,1328976
07/09/2020,1150.0,12.0,Italy,59641488
01/08/2020,561.0,1.0,Germany,83166711
22/07/2020,48.0,0.0,Denmark,5822763
29/12/2020,902.0,131.0,Hungary,9769526
14/07/2021,183.0,0.0,Norway,5367580
05/08/2021,247.0,3.0,Croatia,4058165
09/08/2020,34.0,0.0,Norway,5367580
27/06/2020,341.0,3.0,Spain,47332614
11/08/2020,718.0,12.0,Belgium,11522440
09/05/2021,241.0,16.0,Bulgaria,6951482
15/09/2021,697.0,7.0,Latvia,1907675
02/08/2021,221.0,1.0,Estonia,1328976
04/05/2021,994.0,94.0,Romania,19328838
05/03/2020,0.0,0.0,Liechtenstein,38747
27/04/2021,30317.0,347.0,France,67320216
07/06/2021,213.0,8.0,Lithuania,2794090
21/10/2020,127.0,0.0,Cyprus,888005
21/05/2021,398.0,6.0,Slovakia,5457873
26/06/2021,8.0,0.0,Sweden,10327589
07/05/2020,361.0,84.0,Netherlands,17407585
01/04/2021,2422.0,20.0,Croatia,4058165
23/12/2021,711.0,4.0,Estonia,1328976
12/07/2021,832.0,0.0,Cyprus,888005
19/10/2021,6295.0,13.0,Belgium,11522440
11/08/2020,44.0,0.0,Luxembourg,626108
05/08/2020,0.0,0.0,Liechtenstein,38747
27/09/2021,1386.0,4.0,Netherlands,17407585
24/11/2021,12637.0,176.0,Hungary,9769526
25/06/2021,34.0,0.0,Estonia,1328976
30/10/2021,0.0,0.0,Hungary,9769526
30/12/2021,1281.0,1.0,Luxembourg,626108
09/03/2021,491.0,12.0,Croatia,4058165
31/08/2021,14575.0,77.0,Germany,83166711
17/05/2021,5461.0,35.0,Spain,47332614
16/06/2020,13.0,3.0,Ireland,4964440
03/06/2021,465.0,0.0,Ireland,4964440
28/08/2021,1345.0,7.0,Austria,8901064
12/03/2021,5010.0,108.0,Romania,19328838
14/08/2021,203.0,0.0,Estonia,1328976
11/06/2020,162.0,3.0,Netherlands,17407585
27/06/2021,6317.0,19.0,Spain,47332614
08/04/2021,3215.0,73.0,Greece,10718565
06/01/2021,85.0,7.0,Liechtenstein,38747
31/08/2021,807.0,9.0,Croatia,4058165
15/10/2021,1907.0,0.0,Ireland,4964440
12/07/2020,5.0,0.0,Norway,5367580
26/02/2020,1.0,0.0,Estonia,1328976
19/09/2021,458.0,30.0,Bulgaria,6951482
24/01/2021,189.0,0.0,Norway,5367580
08/03/2021,10693.0,236.0,Czechia,10693939
03/04/2020,41.0,4.0,Slovenia,2095861
13/05/2020,52.0,1.0,Austria,8901064
18/12/2021,4754.0,36.0,Belgium,11522440
07/10/2020,611.0,5.0,Ireland,4964440
04/03/2021,186.0,6.0,Luxembourg,626108
09/09/2021,562.0,2.0,Slovakia,5457873
03/04/2021,5498.0,154.0,Romania,19328838
16/07/2021,226.0,0.0,Norway,5367580
04/04/2021,600.0,1.0,Denmark,5822763
15/08/2020,163.0,10.0,Belgium,11522440
06/06/2021,612.0,2.0,Portugal,10295909
08/12/2021,1279.0,100.0,Romania,19328838
20/04/2021,1038.0,5.0,Slovenia,2095861
28/03/2021,29266.0,131.0,Poland,37958138
24/02/2021,5485.0,207.0,Spain,47332614
29/01/2021,797.0,25.0,Lithuania,2794090
15/04/2020,9.0,0.0,Iceland,364134
05/10/2020,283.0,3.0,Bulgaria,6951482
16/05/2021,718.0,61.0,Hungary,9769526
31/03/2020,208.0,4.0,Norway,5367580
12/12/2021,19212.0,66.0,Italy,59641488
24/11/2021,28431.0,460.0,Poland,37958138
18/03/2020,145.0,6.0,Sweden,10327589
17/06/2020,31.0,1.0,Austria,8901064
03/06/2020,352.0,81.0,France,67320216
04/12/2020,8062.0,176.0,Romania,19328838
31/07/2021,202.0,2.0,Lithuania,2794090
14/09/2021,1012.0,2.0,Norway,5367580
08/06/2020,0.0,0.0,Croatia,4058165
14/10/2020,51.0,0.0,Cyprus,888005
23/04/2020,116.0,0.0,Finland,5525292
20/02/2021,464.0,6.0,Denmark,5822763
04/03/2021,2198.0,22.0,Bulgaria,6951482
05/06/2020,3.0,0.0,Latvia,1907675
31/01/2021,106.0,2.0,Cyprus,888005
23/04/2021,702.0,5.0,Denmark,5822763
06/06/2020,0.0,,Greece,10718565
24/08/2021,87.0,0.0,Iceland,364134
24/12/2021,12943.0,11.0,Portugal,10295909
10/04/2020,71.0,3.0,Finland,5525292
11/09/2020,58.0,2.0,Finland,5525292
30/08/2021,1292.0,0.0,Ireland,4964440
07/10/2020,3003.0,75.0,Poland,37958138
12/03/2021,823.0,12.0,Croatia,4058165
29/07/2021,6167.0,19.0,Italy,59641488
26/03/2020,57.0,5.0,Greece,10718565
01/09/2021,262.0,0.0,Czechia,10693939
18/04/2020,351.0,10.0,Romania,19328838
19/07/2021,18.0,2.0,Croatia,4058165
02/12/2021,48416.0,103.0,France,67320216
31/07/2021,23471.0,43.0,France,67320216
23/09/2020,1640.0,20.0,Italy,59641488
24/11/2021,434.0,0.0,Cyprus,888005
18/05/2020,2.0,2.0,Greece,10718565
17/05/2020,0.0,0.0,Iceland,364134
23/09/2020,42.0,2.0,Malta,514564
10/04/2020,3951.0,570.0,Italy,59641488
24/11/2020,2705.0,23.0,Slovakia,5457873
27/06/2021,73.0,1.0,Austria,8901064
20/04/2020,51.0,0.0,Bulgaria,6951482
06/02/2021,1146.0,27.0,Austria,8901064
23/06/2020,6.0,2.0,Slovenia,2095861
25/08/2021,130.0,0.0,Luxembourg,626108
12/09/2021,393.0,2.0,Latvia,1907675
14/03/2020,2.0,0.0,Liechtenstein,38747
17/03/2020,61.0,1.0,Poland,37958138
27/05/2020,18.0,0.0,Norway,5367580
22/05/2021,1909.0,10.0,Sweden,10327589
19/09/2020,111.0,1.0,Slovenia,2095861
12/12/2020,3655.0,97.0,Czechia,10693939
27/12/2020,8822.0,173.0,France,67320216
14/04/2020,514.0,32.0,Portugal,10295909
19/06/2020,13.0,0.0,Ireland,4964440
11/12/2020,1750.0,49.0,Slovenia,2095861
05/05/2021,10579.0,267.0,Italy,59641488
19/08/2021,123.0,1.0,Hungary,9769526
29/08/2021,3.0,0.0,Liechtenstein,38747
09/02/2021,1759.0,87.0,Netherlands,17407585
24/11/2020,32727.0,540.0,Poland,37958138
21/08/2020,302.0,1.0,Austria,8901064
01/07/2020,4.0,2.0,Ireland,4964440
13/04/2020,3.0,3.0,Luxembourg,626108
05/09/2021,235.0,0.0,Slovenia,2095861
17/11/2021,6670.0,64.0,Croatia,4058165
28/04/2021,427.0,8.0,Estonia,1328976
20/11/2021,23418.0,382.0,Poland,37958138
22/04/2021,33.0,0.0,Malta,514564
16/09/2021,724.0,10.0,Poland,37958138
15/10/2020,227.0,0.0,Luxembourg,626108
27/02/2020,1.0,0.0,Finland,5525292
21/12/2020,395.0,4.0,Latvia,1907675
09/03/2021,5644.0,109.0,Slovakia,5457873
16/08/2021,381.0,5.0,Cyprus,888005
18/08/2021,63.0,1.0,Luxembourg,626108
11/01/2021,230.0,35.0,Croatia,4058165
10/08/2021,97.0,1.0,Slovakia,5457873
08/09/2020,161.0,0.0,Slovakia,5457873
20/02/2021,5288.0,185.0,Spain,47332614
13/11/2020,1037.0,1.0,Denmark,5822763
19/06/2020,11.0,0.0,Croatia,4058165
21/09/2021,141.0,0.0,Luxembourg,626108
07/12/2021,6324.0,9.0,Denmark,5822763
31/05/2021,51.0,1.0,Luxembourg,626108
17/04/2020,116.0,8.0,Czechia,10693939
18/11/2021,1130.0,4.0,Sweden,10327589
27/03/2020,1167.0,114.0,Netherlands,17407585
14/09/2020,180.0,5.0,Greece,10718565
17/02/2021,638.0,56.0,Ireland,4964440
11/11/2020,165.0,4.0,Cyprus,888005
09/05/2020,1.0,0.0,Malta,514564
16/08/2020,43.0,1.0,Finland,5525292
15/09/2020,726.0,4.0,Hungary,9769526
23/07/2021,26515.0,44.0,Spain,47332614
23/09/2020,67.0,0.0,Luxembourg,626108
29/03/2021,1724.0,65.0,Greece,10718565
22/08/2021,193.0,6.0,Cyprus,888005
20/03/2021,590.0,2.0,Denmark,5822763
12/09/2020,603.0,13.0,Poland,37958138
30/09/2020,825.0,8.0,Portugal,10295909
05/04/2021,360.0,0.0,Finland,5525292
10/03/2020,2.0,,Bulgaria,6951482
30/05/2021,8541.0,44.0,France,67320216
28/05/2021,321.0,43.0,Romania,19328838
15/12/2021,11617.0,124.0,Czechia,10693939
28/07/2020,250.0,7.0,Bulgaria,6951482
28/04/2021,3448.0,49.0,Belgium,11522440
18/10/2021,1594.0,44.0,Italy,59641488
30/09/2021,766.0,5.0,Sweden,10327589
07/05/2020,137.0,28.0,Ireland,4964440
03/02/2021,2356.0,41.0,Belgium,11522440
21/04/2020,2183.0,139.0,Germany,83166711
10/11/2020,230.0,15.0,Ireland,4964440
26/10/2021,681.0,4.0,Finland,5525292
18/04/2021,12151.0,207.0,Poland,37958138
06/08/2021,478.0,0.0,Norway,5367580
15/09/2021,12224.0,82.0,Germany,83166711
04/07/2020,65.0,6.0,Netherlands,17407585
16/04/2021,1277.0,15.0,Lithuania,2794090
23/03/2020,296.0,0.0,Norway,5367580
28/03/2020,40.0,0.0,Estonia,1328976
06/12/2021,12703.0,46.0,Spain,47332614
06/05/2021,509.0,0.0,Norway,5367580
14/08/2021,1352.0,4.0,Belgium,11522440
21/05/2021,6.0,0.0,Malta,514564
11/03/2021,1358.0,7.0,Estonia,1328976
16/10/2021,2982.0,14.0,Italy,59641488
19/07/2020,5.0,0.0,Finland,5525292
22/01/2021,643.0,32.0,Croatia,4058165
28/06/2020,10.0,0.0,Luxembourg,626108
01/02/2021,3299.0,38.0,Belgium,11522440
18/06/2020,1.0,1.0,Hungary,9769526
11/01/2021,331.0,15.0,Latvia,1907675
10/10/2021,2735.0,0.0,Netherlands,17407585
14/07/2021,218.0,0.0,Malta,514564
14/08/2021,9.0,0.0,Liechtenstein,38747
19/06/2021,2624.0,22.0,France,67320216
27/12/2021,2605.0,18.0,Austria,8901064
13/06/2020,346.0,78.0,Italy,59641488
09/07/2020,13.0,0.0,Latvia,1907675
27/06/2020,175.0,8.0,Italy,59641488
22/09/2021,18.0,0.0,Malta,514564
03/03/2020,0.0,0.0,Estonia,1328976
05/01/2021,4729.0,121.0,Romania,19328838
17/11/2021,10265.0,178.0,Hungary,9769526
30/10/2020,15388.0,184.0,Belgium,11522440
02/04/2020,4668.0,760.0,Italy,59641488
11/06/2020,5.0,0.0,Malta,514564
13/04/2021,5087.0,91.0,Czechia,10693939
19/01/2021,5.0,0.0,Iceland,364134
02/09/2021,2113.0,6.0,Belgium,11522440
26/03/2020,0.0,0.0,Croatia,4058165
29/07/2020,9.0,0.0,Estonia,1328976
24/10/2021,1854.0,31.0,Lithuania,2794090
06/11/2020,357.0,7.0,Latvia,1907675
28/08/2020,485.0,0.0,Czechia,10693939
07/05/2021,634.0,3.0,Slovenia,2095861
09/01/2021,1372.0,29.0,Lithuania,2794090
26/10/2021,2117.0,26.0,Latvia,1907675
07/12/2020,1250.0,89.0,Greece,10718565
15/01/2021,266.0,1.0,Finland,5525292
22/07/2021,2601.0,5.0,Greece,10718565
18/03/2020,1404.0,218.0,France,67320216
12/08/2020,14.0,0.0,Cyprus,888005
16/06/2020,9.0,0.0,Slovakia,5457873
27/03/2020,5959.0,969.0,Italy,59641488
25/10/2021,540.0,6.0,Sweden,10327589
24/08/2021,2460.0,6.0,Belgium,11522440
29/01/2021,119.0,0.0,Cyprus,888005
19/09/2021,762.0,25.0,Lithuania,2794090
01/06/2021,8.0,0.0,Malta,514564
07/10/2020,1274.0,6.0,Austria,8901064
10/10/2021,338.0,4.0,Czechia,10693939
01/06/2020,0.0,0.0,Slovakia,5457873
04/01/2021,621.0,12.0,Latvia,1907675
30/06/2020,464.0,11.0,Spain,47332614
23/07/2020,1.0,0.0,Malta,514564
14/12/2020,463.0,11.0,Finland,5525292
10/03/2021,4564.0,100.0,Romania,19328838
10/11/2020,3817.0,62.0,Portugal,10295909
20/07/2021,4327.0,9.0,Greece,10718565
12/03/2020,44.0,0.0,Denmark,5822763
08/06/2021,6018.0,75.0,France,67320216
03/12/2021,4521.0,53.0,Croatia,4058165
10/05/2021,2460.0,22.0,Sweden,10327589
09/05/2021,1657.0,16.0,Sweden,10327589
19/03/2020,23.0,0.0,Slovenia,2095861
04/05/2020,45.0,4.0,Norway,5367580
03/08/2021,4841.0,27.0,Italy,59641488
17/02/2020,0.0,0.0,Czechia,10693939
04/11/2021,1434.0,5.0,Estonia,1328976
17/11/2021,64.0,0.0,Malta,514564
06/02/2020,0.0,0.0,Lithuania,2794090
20/09/2021,2124.0,39.0,Greece,10718565
03/11/2021,4573.0,41.0,Croatia,4058165
21/05/2021,533.0,0.0,Ireland,4964440
22/08/2021,1688.0,0.0,Ireland,4964440
22/02/2021,11449.0,165.0,Czechia,10693939
20/02/2021,1.0,0.0,Liechtenstein,38747
15/11/2020,377.0,1.0,Ireland,4964440
18/11/2020,3938.0,131.0,Bulgaria,6951482
24/09/2020,2906.0,10.0,Czechia,10693939
14/11/2021,959.0,33.0,Lithuania,2794090
03/06/2021,53.0,1.0,Cyprus,888005
01/06/2020,200.0,14.0,Portugal,10295909
20/08/2021,7220.0,49.0,Italy,59641488
19/12/2021,421.0,0.0,Iceland,364134
19/11/2021,62529.0,441.0,Germany,83166711
28/11/2020,564.0,7.0,Luxembourg,626108
25/03/2020,10.0,0.0,Slovakia,5457873
06/04/2020,69.0,0.0,Iceland,364134
19/12/2020,21700.0,771.0,Germany,83166711
02/08/2020,148.0,5.0,Belgium,11522440
12/08/2021,28554.0,77.0,France,67320216
12/07/2020,5.0,0.0,Hungary,9769526
12/12/2020,6333.0,148.0,Romania,19328838
25/06/2020,76.0,5.0,Belgium,11522440
02/09/2020,53.0,1.0,Slovenia,2095861
22/05/2020,12.0,1.0,Lithuania,2794090
04/09/2020,691.0,8.0,Poland,37958138
03/10/2020,461.0,3.0,Sweden,10327589
31/08/2020,20.0,0.0,Estonia,1328976
07/12/2021,69335.0,418.0,Germany,83166711
14/08/2021,833.0,2.0,Austria,8901064
11/06/2021,3353.0,12.0,Spain,47332614
11/08/2021,859.0,0.0,Austria,8901064
14/06/2020,227.0,5.0,Portugal,10295909
02/07/2020,4.0,0.0,Lithuania,2794090
05/03/2020,1.0,0.0,Luxembourg,626108
05/07/2021,118.0,0.0,Luxembourg,626108
22/10/2021,10.0,1.0,Malta,514564
12/09/2020,79.0,0.0,Slovakia,5457873
13/04/2021,1236.0,4.0,Slovenia,2095861
16/04/2020,25.0,3.0,Greece,10718565
25/06/2021,751.0,56.0,Italy,59641488
09/04/2020,30.0,0.0,Iceland,364134
07/10/2021,14467.0,282.0,Romania,19328838
27/10/2020,391.0,1.0,Norway,5367580
01/10/2020,57.0,1.0,Estonia,1328976
08/06/2021,377.0,0.0,Denmark,5822763
13/11/2021,0.0,0.0,Hungary,9769526
02/03/2021,6189.0,23.0,Sweden,10327589
05/02/2020,0.0,0.0,Finland,5525292
11/12/2020,2885.0,114.0,Belgium,11522440
24/06/2021,175.0,0.0,Cyprus,888005
19/09/2020,64.0,0.0,Finland,5525292
14/04/2020,0.0,0.0,Liechtenstein,38747
03/07/2020,9.0,2.0,Ireland,4964440
12/03/2020,18.0,1.0,Greece,10718565
03/04/2020,411.0,18.0,Austria,8901064
16/03/2021,5416.0,112.0,Spain,47332614
19/09/2020,8701.0,123.0,Spain,47332614
30/04/2020,0.0,0.0,Denmark,5822763
15/08/2020,196.0,0.0,Ireland,4964440
28/09/2020,124.0,0.0,Finland,5525292
07/05/2021,4.0,0.0,Liechtenstein,38747
18/08/2021,10309.0,103.0,Spain,47332614
09/03/2020,1.0,0.0,Malta,514564
27/01/2021,26916.0,350.0,France,67320216
30/09/2021,1426.0,32.0,Spain,47332614
11/09/2020,23.0,0.0,Estonia,1328976
25/11/2020,580.0,9.0,Latvia,1907675
10/10/2021,1359.0,4.0,Latvia,1907675
10/07/2021,85.0,7.0,Poland,37958138
18/08/2020,100.0,2.0,Slovakia,5457873
29/03/2020,73.0,0.0,Iceland,364134
19/08/2020,735.0,17.0,Poland,37958138
21/07/2020,524.0,4.0,Germany,83166711
17/03/2020,35.0,1.0,Greece,10718565
13/08/2020,54.0,1.0,Norway,5367580
20/02/2021,107.0,0.0,Cyprus,888005
23/02/2021,529.0,0.0,Denmark,5822763
01/10/2020,679.0,6.0,Slovakia,5457873
05/04/2020,23.0,6.0,Slovenia,2095861
08/05/2020,4.0,1.0,Slovenia,2095861
05/06/2020,611.0,46.0,France,67320216
27/10/2020,33417.0,523.0,France,67320216
08/07/2021,2.0,0.0,Liechtenstein,38747
05/05/2021,30.0,0.0,Malta,514564
17/06/2021,113.0,4.0,Hungary,9769526
09/10/2020,457.0,3.0,Croatia,4058165
16/04/2020,623.0,111.0,Sweden,10327589
08/08/2020,104.0,1.0,Austria,8901064
31/12/2021,13607.0,639.0,Poland,37958138
14/12/2020,10557.0,165.0,Spain,47332614
12/12/2021,677.0,14.0,Slovenia,2095861
30/07/2020,85.0,-1.0,Ireland,4964440
08/07/2020,533.0,10.0,Sweden,10327589
08/04/2020,78.0,11.0,Hungary,9769526
16/04/2021,14.0,0.0,Liechtenstein,38747
24/03/2020,230.0,21.0,Sweden,10327589
13/10/2020,1025.0,28.0,Hungary,9769526
08/02/2021,7969.0,307.0,Italy,59641488
26/10/2020,2243.0,10.0,Bulgaria,6951482
08/12/2020,2710.0,93.0,Belgium,11522440
03/10/2020,2554.0,13.0,Czechia,10693939
13/10/2020,40.0,0.0,Estonia,1328976
03/04/2021,324.0,3.0,Finland,5525292
04/04/2021,1376.0,33.0,Croatia,4058165
04/02/2020,0.0,0.0,Lithuania,2794090
08/01/2021,17529.0,620.0,Italy,59641488
24/10/2020,3107.0,0.0,Slovakia,5457873
28/11/2021,7071.0,47.0,Belgium,11522440
22/04/2021,4.0,0.0,Liechtenstein,38747
01/08/2020,86.0,0.0,Croatia,4058165
13/09/2020,6.0,0.0,Luxembourg,626108
12/05/2021,4159.0,343.0,Poland,37958138
05/07/2021,553.0,2.0,Germany,83166711
23/08/2021,616.0,3.0,Lithuania,2794090
30/06/2021,13308.0,13.0,Spain,47332614
11/06/2020,0.0,0.0,Liechtenstein,38747
23/03/2021,4851.0,169.0,Bulgaria,6951482
29/04/2020,15.0,4.0,Croatia,4058165
03/11/2021,2595.0,74.0,Hungary,9769526
27/02/2021,729.0,16.0,Ireland,4964440
03/12/2020,930.0,11.0,Latvia,1907675
30/08/2020,536.0,3.0,Germany,83166711
13/06/2021,1390.0,26.0,Italy,59641488
22/09/2020,34.0,0.0,Latvia,1907675
13/07/2021,6950.0,54.0,France,67320216
04/06/2021,517.0,0.0,Ireland,4964440
05/07/2020,18.0,0.0,Ireland,4964440
10/07/2020,1.0,0.0,Estonia,1328976
22/11/2021,5634.0,0.0,Ireland,4964440
30/01/2021,1370.0,89.0,Hungary,9769526
14/03/2020,71.0,1.0,Sweden,10327589
29/07/2021,60.0,0.0,Slovakia,5457873
07/11/2021,0.0,0.0,Hungary,9769526
12/11/2021,12.0,0.0,Liechtenstein,38747
28/07/2020,4.0,0.0,Estonia,1328976
31/10/2020,149.0,1.0,Cyprus,888005
08/09/2020,1136.0,41.0,Romania,19328838
08/11/2021,4255.0,241.0,Romania,19328838
09/04/2020,4286.0,1341.0,France,67320216
22/09/2020,74.0,0.0,Luxembourg,626108
11/11/2021,25.0,0.0,Liechtenstein,38747
11/08/2021,326.0,8.0,Romania,19328838
27/02/2021,381.0,0.0,Norway,5367580
27/01/2021,138.0,4.0,Luxembourg,626108
15/10/2021,1782.0,10.0,Czechia,10693939
04/11/2021,5902.0,59.0,Italy,59641488
26/07/2021,3115.0,22.0,Italy,59641488
23/09/2020,553.0,0.0,Sweden,10327589
21/06/2020,222.0,3.0,Germany,83166711
29/12/2020,27579.0,1248.0,Germany,83166711
14/04/2020,2972.0,602.0,Italy,59641488
24/01/2021,1147.0,51.0,Sweden,10327589
05/12/2021,3786.0,23.0,Portugal,10295909
11/07/2020,1.0,0.0,Cyprus,888005
31/10/2020,4007.0,39.0,Portugal,10295909
14/01/2021,4743.0,95.0,Sweden,10327589
19/02/2021,1435.0,28.0,Greece,10718565
16/03/2020,25.0,0.0,Estonia,1328976
25/08/2020,301.0,0.0,Austria,8901064
28/05/2020,774.0,40.0,Sweden,10327589
